table_name,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,key_type,column_comment
admin_dashboard,id,uuid,null,null,null,YES,null,,null
admin_dashboard,email,text,null,null,null,YES,null,,null
admin_dashboard,username,text,null,null,null,YES,null,,null
admin_dashboard,slug,text,null,null,null,YES,null,,null
admin_dashboard,cohort,text,null,null,null,YES,null,,null
admin_dashboard,current_elo,integer,null,32,0,YES,null,,null
admin_dashboard,current_streak,integer,null,32,0,YES,null,,null
admin_dashboard,longest_streak,integer,null,32,0,YES,null,,null
admin_dashboard,total_simulations,integer,null,32,0,YES,null,,null
admin_dashboard,average_score,numeric,null,5,2,YES,null,,null
admin_dashboard,last_participation,date,null,null,null,YES,null,,null
admin_dashboard,created_at,timestamp with time zone,null,null,null,YES,null,,null
admin_dashboard,updated_at,timestamp with time zone,null,null,null,YES,null,,null
admin_dashboard,active,boolean,null,null,null,YES,null,,null
admin_dashboard,probability_pass,numeric,null,5,2,YES,null,,null
admin_dashboard,z_score,numeric,null,5,2,YES,null,,null
admin_dashboard,trend_direction,text,null,null,null,YES,null,,null
admin_dashboard,risk_level,text,null,null,null,YES,null,,null
admin_dashboard,notes,ARRAY,null,null,null,YES,null,,null
admin_dashboard,calculated_risk_level,text,null,null,null,YES,null,,null
elo_history,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
elo_history,user_id,uuid,null,null,null,NO,null,FOREIGN KEY -> users(id),null
elo_history,week_number,integer,null,32,0,NO,null,,null
elo_history,elo_before,integer,null,32,0,NO,null,,null
elo_history,elo_after,integer,null,32,0,NO,null,,null
elo_history,change,integer,null,32,0,YES,null,,null
elo_history,position,integer,null,32,0,YES,null,,null
elo_history,total_participants,integer,null,32,0,YES,null,,null
elo_history,created_at,timestamp with time zone,null,null,null,YES,now(),,null
email_duplicates_analysis,email1_id,uuid,null,null,null,YES,null,,null
email_duplicates_analysis,email2_id,uuid,null,null,null,YES,null,,null
email_duplicates_analysis,to_email,text,null,null,null,YES,null,,null
email_duplicates_analysis,created1,timestamp with time zone,null,null,null,YES,null,,null
email_duplicates_analysis,created2,timestamp with time zone,null,null,null,YES,null,,null
email_duplicates_analysis,subject1,text,null,null,null,YES,null,,null
email_duplicates_analysis,subject2,text,null,null,null,YES,null,,null
email_duplicates_analysis,status1,text,null,null,null,YES,null,,null
email_duplicates_analysis,status2,text,null,null,null,YES,null,,null
email_duplicates_analysis,seconds_apart,numeric,null,null,null,YES,null,,null
email_logs,id,uuid,null,null,null,NO,uuid_generate_v4(),PRIMARY KEY,null
email_logs,user_id,uuid,null,null,null,YES,null,FOREIGN KEY -> users(id),null
email_logs,email_type,text,null,null,null,NO,null,,null
email_logs,subject,text,null,null,null,NO,null,,null
email_logs,content,text,null,null,null,YES,null,,null
